sentence,target_word,sense
The bank approved a mortgage for the new house.,bank,financial
She deposited her paycheck at the bank before work.,bank,financial
The bank raised interest rates on savings accounts.,bank,financial
Our business received a loan from a local bank.,bank,financial
He opened a new account at the neighborhood bank.,bank,financial
The bank transferred the payment to her account.,bank,financial
They met with the bank manager to discuss credit.,bank,financial
The bank rejected the application because the income was unstable.,bank,financial
Children skipped stones from the grassy bank of the river.,bank,river
The fisherman waited quietly on the muddy bank.,bank,river
Heavy rain caused the river to overflow its bank.,bank,river
We walked along the bank until the bridge came into view.,bank,river
Wildflowers covered the steep bank beside the stream.,bank,river
The canoe drifted close to the far bank.,bank,river
A fox disappeared into reeds growing on the river bank.,bank,river
They had a picnic on the sunny bank near the water.,bank,river
