sentence,label
Birds fly south.,short
Maya read quietly.,short
The train arrived.,short
Clouds covered the moon.,short
Children drew pictures.,short
The lamp flickered.,short
Ravi cooked dinner.,short
Dogs chased balls.,short
Leaves fell slowly.,short
The bell rang.,short
Music filled the room.,short
We packed early.,short
The small research team met after lunch to discuss unexpected results from their latest experiment.,long
After the storm passed the neighbors worked for several hours to clear branches from the narrow road.,long
The professor explained that the final assignment should connect theory with a practical example.,long
While the city slept a maintenance crew carefully repaired the damaged signal near the crowded station.,long
The committee postponed its decision because several members needed time to review the financial report.,long
During the workshop participants compared methods and recorded tradeoffs in a shared notebook.,long
Although the recipe looked simple preparing every ingredient took longer than originally expected.,long
The museum guide described how the painting survived decades of travel before returning to the gallery.,long
When lights went out the audience remained calm until technicians restored power to the theater.,long
The new policy requires managers to explain each decision clearly before sharing the outcome.,long
Scientists collected water samples every morning to track changes in the lake throughout summer.,long
Before sunrise hikers checked maps filled bottles and planned a route across the valley.,long
